web-scraper-order,web-scraper-start-url,topLevelCategory,topLevelCategory-href,rank,image-src,title,pages,pages-href,url,ratings,price,reviewCount
1615398551-15856,https://www.amazon.com/Best-Sellers/zgbs/ref=zg_bs_unv_t_0_t_1,Amazon Devices & Accessories,https://www.amazon.com/Best-Sellers/zgbs/amazon-devices/ref=zg_bs_nav_0,#65,"https://images-na.ssl-images-amazon.com/images/I/51NarbrWD9L._AC_UL200_SR200,200_.jpg",1-Year Accident Protection Plan for All New Echo Dot 4th Gen,2,https://www.amazon.com/Best-Sellers/zgbs/amazon-devices/ref=zg_bs_pg_2?_encoding=UTF8&pg=2,/Test-Product-Not-retail-sale/dp/B07XKF6GQ9/ref=zg_bs_amazon-devices_65?_encoding=UTF8&psc=1&refRID=T2E9GNJR8J9CHWVN38J4,4.7 out of 5 stars,$3.99 - $5.99,"4,386"
1615398415-14844,https://www.amazon.com/Best-Sellers/zgbs/ref=zg_bs_unv_t_0_t_1,Grocery & Gourmet Food,https://www.amazon.com/Best-Sellers-Grocery-Gourmet-Food/zgbs/grocery/ref=zg_bs_nav_0,#73,"https://images-na.ssl-images-amazon.com/images/I/71t0DOnGl4L._AC_UL200_SR200,200_.jpg","Nespresso Capsules VertuoLine, Double Espresso Chiaro, Medium Roast Espresso Coffee, 30 Count…",2,https://www.amazon.com/Best-Sellers-Grocery-Gourmet-Food/zgbs/grocery/ref=zg_bs_pg_2?_encoding=UTF8&pg=2,/Nespresso-VertuoLine-Double-Espresso-Chiaro/dp/B07M8P8F73/ref=zg_bs_grocery_73?_encoding=UTF8&psc=1&refRID=R5EZDEMNV8Q0A8GWE5MD,4.9 out of 5 stars,$30.00 - $30.05,"9,607"
1615398538-15752,https://www.amazon.com/Best-Sellers/zgbs/ref=zg_bs_unv_t_0_t_1,Appliances,https://www.amazon.com/Best-Sellers-Appliances/zgbs/appliances/ref=zg_bs_nav_0,#63,"https://images-na.ssl-images-amazon.com/images/I/51wkUX-5DVL._AC_UL200_SR200,200_.jpg","KOBE Range Hoods INX2930SQBF-500-1 Built-In/Insert Range Hood, 30""",2,https://www.amazon.com/Best-Sellers-Appliances/zgbs/appliances/ref=zg_bs_pg_2?_encoding=UTF8&pg=2,/KOBE-Range-Hoods-INX2930SQBF-500-1-Built/dp/B07DMGGSPR/ref=zg_bs_appliances_63?_encoding=UTF8&psc=1&refRID=JTJENKE809R85JVRQ8W8,4.5 out of 5 stars,$300.73 - $500.58,257
1615398401-14721,https://www.amazon.com/Best-Sellers/zgbs/ref=zg_bs_unv_t_0_t_1,Health & Household,https://www.amazon.com/Best-Sellers-Health-Personal-Care/zgbs/hpc/ref=zg_bs_nav_0,#53,"https://images-na.ssl-images-amazon.com/images/I/717%2B7HyKCGL._AC_UL200_SR200,200_.jpg","Charmin Ultra Soft Cushiony Touch Toilet Paper, 24 Family Mega Rolls = 123 Regular Rolls",2,https://www.amazon.com/Best-Sellers-Health-Personal-Care/zgbs/hpc/ref=zg_bs_pg_2?_encoding=UTF8&pg=2,/Charmin-Toilet-Family-Cushiony-Sheets/dp/B0798DVT68/ref=zg_bs_hpc_53?_encoding=UTF8&psc=1&refRID=JKWMK2ZCAJS6YJRFGVMV,4.8 out of 5 stars,$31.48 - $61.93,"26,971"
1615398332-14243,https://www.amazon.com/Best-Sellers/zgbs/ref=zg_bs_unv_t_0_t_1,Pet Supplies,https://www.amazon.com/Best-Sellers-Pet-Supplies/zgbs/pet-supplies/ref=zg_bs_nav_0,#83,"https://images-na.ssl-images-amazon.com/images/I/51P64VYRdPL._AC_UL200_SR200,200_.jpg",SmartPetLove Snuggle Puppy Behavioral Aid Toy,2,https://www.amazon.com/Best-Sellers-Pet-Supplies/zgbs/pet-supplies/ref=zg_bs_pg_2?_encoding=UTF8&pg=2,/SmartPetLove-Snuggle-Puppy-Behavioral-Biscuit/dp/B0722XGRMB/ref=zg_bs_pet-supplies_83?_encoding=UTF8&psc=1&refRID=XGPS0Q3A7SV732WCPXKX,4.6 out of 5 stars,$31.71 - $58.80,"21,687"
1615398545-15837,https://www.amazon.com/Best-Sellers/zgbs/ref=zg_bs_unv_t_0_t_1,Amazon Launchpad,https://www.amazon.com/Best-Sellers-Amazon-Launchpad/zgbs/boost/ref=zg_bs_nav_0,#97,"https://images-na.ssl-images-amazon.com/images/I/614hoJPWWcL._AC_UL200_SR200,200_.jpg",Adaptive Sound Technologies LectroFan High Fidelity White Noise Sound Machine with 20…,2,https://www.amazon.com/Best-Sellers-Amazon-Launchpad/zgbs/boost/ref=zg_bs_pg_2?_encoding=UTF8&pg=2,/Adaptive-Sound-Technologies-LectroFan-Non-Looping/dp/B00MY8V86Q/ref=zg_bs_boost_97?_encoding=UTF8&psc=1&refRID=9VMK1Z9D4VYF0D284K79,4.7 out of 5 stars,$31.85 - $45.65,"9,590"
1615398538-15758,https://www.amazon.com/Best-Sellers/zgbs/ref=zg_bs_unv_t_0_t_1,Appliances,https://www.amazon.com/Best-Sellers-Appliances/zgbs/appliances/ref=zg_bs_nav_0,#69,"https://images-na.ssl-images-amazon.com/images/I/61udt42skOL._AC_UL200_SR200,200_.jpg","Cosmo 668ICS750 30 in. Island Mount Range Hood with 380 CFM, Soft Touch Controls, Permanent…",2,https://www.amazon.com/Best-Sellers-Appliances/zgbs/appliances/ref=zg_bs_pg_2?_encoding=UTF8&pg=2,/Cosmo-COS-668ICS750-Chimney-Style-Permanent-Convertible/dp/B07LCWYBF7/ref=zg_bs_appliances_69?_encoding=UTF8&psc=1&refRID=JTJENKE809R85JVRQ8W8,4.5 out of 5 stars,$312.99 - $492.94,514
1615398305-14028,https://www.amazon.com/Best-Sellers/zgbs/ref=zg_bs_unv_t_0_t_1,Tools & Home Improvement,https://www.amazon.com/Best-Sellers-Home-Improvement/zgbs/hi/ref=zg_bs_nav_0,#72,"https://images-na.ssl-images-amazon.com/images/I/91JLVixp2wL._AC_UL200_SR200,200_.jpg","Aerostar Home Max 12x12x1 MERV 13 Pleated Air Filter Made in the USA Captures Virus Particles,…",2,https://www.amazon.com/Best-Sellers-Home-Improvement/zgbs/hi/ref=zg_bs_pg_2?_encoding=UTF8&pg=2,/Aerostar-12x12x1-MERV-13-Pleated/dp/B01CR9K2UE/ref=zg_bs_hi_72?_encoding=UTF8&psc=1&refRID=TKSKV30H98R6PGTZBXJ5,4.6 out of 5 stars,$32.52 - $140.82,"14,338"
1615398394-14684,https://www.amazon.com/Best-Sellers/zgbs/ref=zg_bs_unv_t_0_t_1,Home & Kitchen,https://www.amazon.com/Best-Sellers-Home-Kitchen/zgbs/home-garden/ref=zg_bs_nav_0,#66,"https://images-na.ssl-images-amazon.com/images/I/81DAEwpLb%2BL._AC_UL200_SR200,200_.jpg",Twin Size Sheet Set - 4 Piece Set - Hotel Luxury Bed Sheets - Extra Soft Bed Sheets - Deep…,2,https://www.amazon.com/Best-Sellers-Home-Kitchen/zgbs/home-garden/ref=zg_bs_pg_2?_encoding=UTF8&pg=2,/Twin-Size-Sheet-Set-Breathable/dp/B07BGCJK4S/ref=zg_bs_home-garden_66?_encoding=UTF8&psc=1&refRID=9JMBGWFH2SX6KJ3MZ4ZC,4.5 out of 5 stars,$32.99 - $44.99,"47,967"
1615398506-15519,https://www.amazon.com/Best-Sellers/zgbs/ref=zg_bs_unv_t_0_t_1,Baby,https://www.amazon.com/Best-Sellers-Baby/zgbs/baby-products/ref=zg_bs_nav_0,#85,"https://images-na.ssl-images-amazon.com/images/I/81%2BtDC5soNL._AC_UL200_SR200,200_.jpg",The Honest Company Baby Wipes - 576 Count | Blue Ikat | Over 99 Percent Water | Pure & Gentle…,2,https://www.amazon.com/Best-Sellers-Baby/zgbs/baby-products/ref=zg_bs_pg_2?_encoding=UTF8&pg=2,/Honest-Company-Baby-Wipes-Plant-Based/dp/B07YXNCYLW/ref=zg_bs_baby-products_85?_encoding=UTF8&psc=1&refRID=GH1T2XNEV04QX39FED35,4.8 out of 5 stars,$32.99 - $49.66,693
